,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
1186,Quadro FX 3800M,574,1675,,
1187,Quadro FX 380M,120,2216,,
1188,Quadro FX 4000,101,2276,,
1189,Quadro FX 4500,227,2036,1.34,$169.00*
1190,Quadro FX 4500 X2,236,2029,,
1191,Quadro FX 4600,410,1863,1.23,$333.25*
1192,Quadro FX 4700 X2,676,1542,,
1193,Quadro FX 4800,1000,1281,0.6,"$1,660.81*"
1194,Quadro FX 500/600 PCI,14,2565,,
1195,Quadro FX 500/FX 600,7,2593,,
1196,Quadro FX 540,80,2333,1.35,$59.99*
1197,Quadro FX 550,63,2382,0.22,$287.82*
1198,Quadro FX 5500,242,2022,0.12,"$1,999.00*"
1199,Quadro FX 560,113,2238,0.76,$150.25*
1200,Quadro FX 5600,525,1741,1.78,$295.00*
1201,Quadro FX 570,248,2016,2.16,$115.00*
1202,Quadro FX 570M,99,2279,,
1203,Quadro FX 580,176,2100,1.35,$130.00*
1204,Quadro FX 5800,1210,1176,4.42,$274.00*
1205,Quadro FX 770M,220,2047,0.42,$527.00*
1206,Quadro FX 880M,230,2034,,
1207,Quadro FX Go1400,101,2273,,
1208,Quadro GP100,14953,153,,
1209,Quadro GV100,19649,82,2.18,"$8,999.00*"
1210,Quadro K1000M,769,1452,11.0,$69.95*
1211,Quadro K1100M,1087,1233,3.37,$322.99*
1212,Quadro K1200,2959,682,10.37,$285.29*
1213,Quadro K2000,1578,1051,5.37,$294.00*
1214,Quadro K2000D,1590,1046,4.68,$339.99*
1215,Quadro K2000M,1001,1278,6.95,$144.04*
1216,Quadro K2100M,1367,1119,3.29,$415.99*
1217,Quadro K2200,3577,607,13.34,$268.30*
1218,Quadro K2200M,3497,618,27.99,$124.95*
1219,Quadro K3000M,1648,1021,4.05,$407.56*
1220,Quadro K3100M,2261,820,5.65,$399.95*
1221,Quadro K4000,2723,719,10.09,$270.00*
1222,Quadro K4000M,2010,887,7.92,$254.00*
1223,Quadro K4100M,2763,710,10.58,$261.29*
1224,Quadro K420,732,1489,2.72,$269.00*
1225,Quadro K4200,4332,542,17.4,$249.00*
1226,Quadro K5000,3970,565,15.94,$249.00*
1227,Quadro K5000M,2804,704,5.51,$508.91*
1228,Quadro K5100M,3219,650,2.9,"$1,108.84*"
1229,Quadro K510M,641,1583,,
1230,Quadro K5200,6145,393,14.81,$415.00*
1231,Quadro K600,726,1496,12.06,$60.24*
1232,Quadro K6000,8055,318,38.24,$210.66*
1233,Quadro K610M,713,1509,2.97,$240.00*
1234,Quadro K620,2220,833,1.09,"$2,029.99*"
1235,Quadro K620M,1163,1197,,
1236,Quadro M1000M,2840,698,33.03,$85.99*
1237,Quadro M1200,3207,652,,
1238,Quadro M2000,4019,563,15.21,$264.24*
1239,Quadro M2000M,3437,624,16.13,$213.16*
1240,Quadro M2200,4276,546,17.11,$249.99*
1241,Quadro M3000M,5544,431,34.66,$159.95*
1242,Quadro M4000,6679,371,29.17,$229.00
1243,Quadro M4000M,6135,395,24.07,$254.91*
1244,Quadro M5000,9445,278,18.93,$499.00*
1245,Quadro M5000M,7052,354,12.89,$546.92*
1246,Quadro M500M,1177,1190,,
1247,Quadro M520,1891,935,,
1248,Quadro M5500,7915,325,,
1249,Quadro M6000,11780,224,2.39,"$4,933.21*"
1250,Quadro M6000 24GB,11782,222,,
1251,Quadro M600M,2223,829,8.82,$251.99*
1252,Quadro M620,2782,706,,
1253,Quadro NVS 110M,47,2430,,
1254,Quadro NVS 120M,46,2432,,
1255,Quadro NVS 130M,97,2287,,
1256,Quadro NVS 135M,50,2418,,
1257,Quadro NVS 140M,78,2338,,
1258,Quadro NVS 150M,70,2358,,
1259,Quadro NVS 160M,145,2145,,
1260,Quadro NVS 210S,23,2538,,
1261,Quadro NVS 210S / GeForce 6150LE,20,2547,,
1262,Quadro NVS 280 PCI,8,2588,0.06,$130.00*
1263,Quadro NVS 280 SD,2,2716,,
1264,Quadro NVS 285,43,2445,0.26,$169.86*
1265,Quadro NVS 285 128MB,38,2469,0.7,$55.00*
1266,Quadro NVS 290,228,2035,3.86,$59.00*
1267,Quadro NVS 295,109,2252,1.73,$63.00*
1268,Quadro NVS 320M,208,2064,,
1269,Quadro NVS 420,120,2218,0.8,$150.00*
1270,Quadro NVS 440,37,2474,0.16,$228.87*
1271,Quadro NVS 450,66,2373,0.13,$505.82
1272,Quadro NVS 510M,238,2025,,
1273,Quadro NVS 55/280 PCI,6,2610,,
1274,Quadro P1000,4510,522,15.56,$289.99*
1275,Quadro P2000,6958,361,15.83,$439.60*
1276,Quadro P2000 with Max-Q Design,5263,455,,
1277,Quadro P2200,9358,280,20.35,$459.80*
1278,Quadro P3000,6477,379,,
1279,Quadro P3200,8582,300,22.04,$389.30*
1280,Quadro P3200 with Max-Q Design,9078,290,,
1281,Quadro P400,1654,1018,8.22,$201.17*
1282,Quadro P4000,11466,233,20.62,$556.19*
1283,Quadro P4000 with Max-Q Design,9082,289,,
1284,Quadro P4200,10566,250,,
1285,Quadro P4200 with Max-Q Design,11703,227,,
1286,Quadro P500,1647,1022,,
1287,Quadro P5000,12637,202,6.76,"$1,868.99*"
1288,Quadro P520,2052,877,1.37,"$1,499.00*"
1289,Quadro P5200,11781,223,,
1290,Quadro P5200 with Max-Q Design,12308,211,,
1291,Quadro P600,3321,635,15.77,$210.58*
1292,Quadro P6000,15378,141,4.73,"$3,250.00*"
1293,Quadro P620,3671,596,6.39,$574.55*
1294,Quadro RTX 3000,10948,242,,
1295,Quadro RTX 3000 with Max-Q Design,8143,317,,
1296,Quadro RTX 4000,15180,147,16.89,$899.00*
1297,Quadro RTX 4000 (Mobile),11721,226,,
1298,Quadro RTX 4000 with Max-Q Design,12479,207,,
1299,Quadro RTX 5000,15602,135,,
1300,Quadro RTX 5000 (Mobile),14832,154,,
1301,Quadro RTX 5000 with Max-Q Design,12980,190,,
1302,Quadro RTX 6000,18226,96,2.89,"$6,300.00*"
1303,Quadro RTX 8000,19798,79,5.27,"$3,760.00*"
1304,Quadro T1000,6483,377,17.52,$369.99*
1305,Quadro T1000 with Max-Q Design,6736,367,,
1306,Quadro T2000,7265,351,13.75,$528.35*
1307,Quadro T2000 with Max-Q Design,6868,362,,
1308,Quadro2 MXR/EX,4,2651,,
1309,Quadro2 Pro,1,2734,,
1310,Quadro4 380 XGL,6,2602,,
1311,Quadro4 900 XGL,4,2634,,
1312,Quadro4 980 XGL,5,2632,0.01,$341.43*
1313,Qualcomm Adreno 540 GPU,126,2200,,
1314,Qualcomm Adreno 618 GPU,127,2197,,
1315,Qualcomm Adreno 630 GPU,281,1981,,
1316,Qualcomm Adreno 675 GPU,539,1723,,
1317,Qualcomm Adreno 680 GPU,884,1354,,
1318,Qualcomm Adreno 685 GPU,975,1296,,
1319,Qualcomm Adreno 690 GPU,1052,1249,,
1320,Qualcomm Adreno 7c Gen 3 GPU,763,1456,,
1321,Qualcomm Adreno 7c+ Gen 3,672,1544,,
1322,Qualcomm Adreno 8cx Gen 3,1960,912,,
1323,Qualcomm Adreno 8cx Gen 3 GPU,1909,928,,
1324,Qualcomm Adreno X1-45 GPU,1834,959,,
1325,Qualcomm Adreno X1-85 GPU,2979,678,,
1326,QXL KMDOD,18,2551,,
1327,Radeon 2100,59,2389,0.31,$190.99*
1328,Radeon 3000,98,2282,0.31,$319.00*
1329,Radeon 3015e,370,1899,,
1330,Radeon 3020e,480,1790,,
1331,Radeon 3100,73,2346,0.39,$189.15*
1332,Radeon 520,869,1363,9.66,$89.99*
1333,Radeon 530,1031,1261,,
1334,Radeon 535,1074,1237,,
1335,Radeon 535DX,773,1443,,
1336,Radeon 540,1410,1112,,
1337,Radeon 540X,1498,1085,,
1338,Radeon 550,2123,857,30.34,$69.99
1339,Radeon 550X,1419,1109,,
1340,Radeon 610M,1103,1220,,
1341,Radeon 610M Ryzen 9 7845HX,11463,235,,
1342,Radeon 610M Ryzen 9 7940HX,1560,1057,,
1343,Radeon 610M Ryzen 9 7945HX,1621,1030,,
1344,Radeon 610M Ryzen 9 7945HX3D,1657,1017,,
1345,Radeon 620,944,1316,,
1346,Radeon 625,1073,1238,,
1347,Radeon 630,1558,1059,,
1348,Radeon 6600M,532,1731,,
1349,Radeon 660M,3280,638,,
1350,Radeon 660M Ryzen 3 7335U,2248,826,,
1351,Radeon 660M Ryzen 5 6600H,4461,528,,
1352,Radeon 660M Ryzen 5 7535HS,2974,680,,
1353,Radeon 6750M,911,1338,,
1354,Radeon 680M,4593,516,,
1355,Radeon 680M Ryzen 7 7735HS,4331,543,,
1356,Radeon 680M Ryzen 9 6900HX,5613,422,,
1357,Radeon 7000 / Radeon VE,2,2705,,
1358,RADEON 7000 / RADEON VE Family,3,2670,,
1359,RADEON 7200,2,2701,0.0,$599.99*
1360,Radeon 740M,3172,656,,
1361,RADEON 7500,3,2691,0.02,$177.25*
1362,RADEON 7500 Family,4,2642,,
1363,Radeon 760M,5536,433,,
1364,Radeon 780M,6959,360,,
1365,Radeon 8050S,15773,131,,
1366,Radeon 8060S,17677,99,,
1367,Radeon 840M,3908,568,,
1368,RADEON 8500 Family,6,2603,,
1369,Radeon 860M,4810,499,,
1370,Radeon 880M,7681,334,,
1371,Radeon 890M,8315,310,,
1372,RADEON 9000,4,2646,,
1373,RADEON 9000 Family,3,2680,,
1374,RADEON 9100 Family,6,2609,,
1375,RADEON 9100 IGP,5,2625,,
1376,RADEON 9200,3,2677,0.02,$153.63*
1377,RADEON 9200 LE Family,2,2709,,
1378,RADEON 9200 PRO Family,2,2702,,
1379,RADEON 9200 SE,2,2712,,
1380,RADEON 9250,2,2710,0.01,$194.00*
1381,RADEON 9500,36,2480,0.9,$40.50*
1382,RADEON 9500 PRO / 9700,41,2451,,
1383,RADEON 9550,34,2487,0.12,$291.74*
1384,Radeon 9550 / X1050,29,2516,,
1385,RADEON 9600 Family,25,2532,,
1386,RADEON 9600 PRO,42,2447,,
1387,RADEON 9600 PRO Family,26,2523,,
1388,RADEON 9600 TX Family,18,2553,,
1389,RADEON 9600 XT,35,2485,,
1390,RADEON 9600SE,27,2519,,
1391,RADEON 9700 PRO,53,2404,,
1392,Radeon 9700 TX w/TV-Out,44,2444,,
1393,RADEON 9800,57,2397,0.18,$325.00*
1394,RADEON 9800 PRO,59,2390,,
1395,RADEON 9800 SE,23,2539,,
1396,RADEON 9800 XT,56,2400,,
1397,RADEON A9800XT,22,2544,,
1398,Radeon Athlon Gold 3150U,774,1441,,
1399,Radeon Athlon Gold PRO 4150GE,1573,1053,,
1400,Radeon Athlon PRO 3045B,563,1690,,
1401,Radeon Athlon Silver 3050U,671,1546,,
1402,RADEON E2400,51,2411,,
1403,RADEON E4690,405,1869,,
1404,Radeon E6460,323,1944,,
1405,Radeon E6465,231,2032,,
1406,Radeon E6760,876,1357,3.65,$239.99*
1407,Radeon E8860,1686,1005,,
1408,Radeon E8870PCIe,3368,630,,
1409,Radeon Eng Sample: 100-000000098-40_39/27_Y,1743,982,,
1410,Radeon Eng Sample: 100-000000144-40_38/38_Y,1659,1014,,
1411,Radeon Eng Sample: 100-000000146-20_37/30_Y,2123,858,,
1412,Radeon Eng Sample: 100-000000151-40_38/33_Y,1367,1121,,
1413,Radeon Eng Sample: 100-000000252-50_Y,2411,774,,
1414,Radeon EPYC 4124P 4-Core,1322,1135,,
1415,Radeon EPYC 4244P 6-Core,1424,1107,,
1416,Radeon EPYC 4344P 8-Core,1634,1026,,
1417,Radeon EPYC 4364P 8-Core,1002,1275,,
1418,Radeon EPYC 4464P 12-Core,1331,1133,,
1419,Radeon EPYC 4484PX 12-Core,1619,1031,,
1420,Radeon EPYC 4564P 16-Core,1374,1116,,
1421,Radeon EPYC 4584PX 16-Core,1661,1012,,
1422,Radeon HD 2350,76,2339,,
1423,Radeon HD 2400,120,2217,1.37,$88.20*
1424,Radeon HD 2400 PCI,14,2566,,
1425,Radeon HD 2400 Pro,114,2237,,
1426,Radeon HD 2400 XT,118,2221,,
1427,Radeon HD 2600 PRO,211,2059,1.12,$188.44*
1428,Radeon HD 2600 Pro AGP,110,2248,,
1429,Radeon HD 2600 XT,282,1979,1.78,$159.00*
1430,Radeon HD 2900 GT,292,1968,,
1431,Radeon HD 2900 PRO,627,1602,,
1432,Radeon HD 2900 XT,659,1557,,
1433,Radeon HD 3000,95,2289,,
1434,Radeon HD 3200,82,2323,,
1435,Radeon HD 3300,126,2199,,
1436,Radeon HD 3450,182,2088,2.05,$89.00*
1437,Radeon HD 3470,117,2226,1.07,$109.65*
1438,Radeon HD 3650 AGP,150,2133,0.81,$185.00*
1439,Radeon HD 3670,168,2113,,
1440,Radeon HD 3850,401,1873,,
1441,Radeon HD 3850 AGP,432,1848,,
1442,Radeon HD 3850 X2,822,1403,,
1443,Radeon HD 3870,551,1701,2.23,$247.49*
1444,Radeon HD 3870 X2,586,1652,,
1445,Radeon HD 4200,111,2245,,
1446,Radeon HD 4250,122,2211,,
1447,Radeon HD 4270,109,2249,,
1448,Radeon HD 4290,140,2161,,
1449,Radeon HD 4300/4500 Serisi,155,2128,,
1450,Radeon HD 4330,134,2176,,
1451,Radeon HD 4350,161,2125,3.17,$50.99*
1452,Radeon HD 4550,235,2030,1.51,$156.00*
1453,Radeon HD 4650,248,2015,3.55,$69.99*
1454,Radeon HD 4650 AGP,207,2066,,
1455,Radeon HD 4670,381,1884,2.67,$142.96*
1456,Radeon HD 4770,908,1339,7.28,$124.86*
1457,Radeon HD 4810,774,1442,,
1458,Radeon HD 4830,844,1381,14.08,$59.99*
1459,Radeon HD 4850,945,1312,6.75,$139.99*
1460,Radeon HD 4850 X2,1132,1209,,
1461,Radeon HD 4870,1386,1113,8.72,$159.08
1462,Radeon HD 4870 X2,1309,1140,,
1463,Radeon HD 4890,1543,1065,17.15,$89.99*
1464,Radeon HD 5450,136,2172,1.95,$69.99
1465,Radeon HD 5470,268,1995,,
1466,Radeon HD 5550,376,1892,6.85,$54.99*
1467,Radeon HD 5570,478,1794,2.95,$162.35*
1468,Radeon HD 5600/5700,615,1616,,
1469,Radeon HD 5670,801,1422,8.02,$99.99
1470,Radeon HD 5750,1169,1192,10.04,$116.53
1471,Radeon HD 5770,1346,1129,7.09,$189.99*
1472,Radeon HD 5830,1732,984,6.69,$258.99*
1473,Radeon HD 5850,1968,908,6.81,$288.99*
1474,Radeon HD 5870,2189,840,5.09,$429.99
1475,Radeon HD 5970,2275,815,3.16,$721.20*
1476,Radeon HD 6230,179,2095,,
1477,Radeon HD 6250,93,2293,,
1478,Radeon HD 6290,104,2264,,
1479,Radeon HD 6290M,140,2163,,
1480,Radeon HD 6300M,144,2149,,
1481,Radeon HD 6310,122,2212,,
1482,Radeon HD 6320,147,2141,0.27,$554.99*
1483,Radeon HD 6320 Graphic,216,2051,,
1484,Radeon HD 6320M,198,2075,,
1485,RADEON HD 6350,140,2160,2.39,$59.00*
1486,Radeon HD 6370D,255,2010,,
1487,Radeon HD 6370M,275,1986,,
1488,Radeon HD 6380G,200,2071,0.5,$399.99*
1489,Radeon HD 6410D,236,2027,,
1490,Radeon HD 6430M,192,2082,,
1491,Radeon HD 6450,198,2076,2.23,$89.00*
1492,Radeon HD 6450 + 8470D Dual,762,1459,,
1493,Radeon HD 6450A,260,2003,,
1494,Radeon HD 6470M,225,2038,0.4,$569.99*
1495,Radeon HD 6480G,256,2008,,
1496,Radeon HD 6480M,353,1914,,
1497,Radeon HD 6490M,377,1889,0.32,"$1,193.03*"
1498,Radeon HD 6520G,299,1965,,
1499,Radeon HD 6530D,337,1927,,
1500,Radeon HD 6550A,707,1512,,
1501,Radeon HD 6550D,400,1875,,
1502,Radeon HD 6570,559,1691,8.62,$64.99*
1503,Radeon HD 6610M,565,1687,,
1504,Radeon HD 6620G,341,1922,,
1505,Radeon HD 6630M,684,1532,,
1506,Radeon HD 6650A,835,1388,,
1507,Radeon HD 6650M,762,1460,,
1508,Radeon HD 6670,727,1495,10.54,$68.99*
1509,Radeon HD 6670 + 6670 Dual,646,1577,,
1510,Radeon HD 6670 + 7660D Dual,1492,1088,,
1511,Radeon HD 6670/7670,945,1310,,
1512,Radeon HD 6700M,1016,1266,,
1513,Radeon HD 6750,1048,1253,13.11,$79.99*
1514,Radeon HD 6750M,937,1321,,
1515,Radeon HD 6770,1263,1155,4.77,$264.99*
1516,Radeon HD 6770M,964,1302,,
1517,Radeon HD 6790,1545,1062,5.26,$294.00*
1518,Radeon HD 6800M,766,1454,,
1519,Radeon HD 6850,1946,921,9.54,$204.07
1520,Radeon HD 6850 X2,2534,752,,
1521,Radeon HD 6870,2205,838,8.24,$267.73
1522,Radeon HD 6900M,1701,999,,
1523,Radeon HD 6950,2590,741,18.5,$139.99*
1524,Radeon HD 6970,2842,697,18.95,$149.99*
1525,Radeon HD 6970M,2270,817,10.51,$215.99*
1526,Radeon HD 6990,3013,675,6.05,$498.49*
1527,Radeon HD 7290,111,2244,,
1528,Radeon HD 7290M,123,2208,,
1529,Radeon HD 7310,128,2194,,
1530,Radeon HD 7310 - Carte graphique,174,2102,,
1531,Radeon HD 7310G,180,2090,,
1532,Radeon HD 7310M,166,2119,,
1533,Radeon HD 7340,153,2129,0.28,$552.69*
1534,Radeon HD 7340G,196,2077,,
1535,Radeon HD 7340M,221,2045,,
1536,Radeon HD 7350,165,2121,,
1537,Radeon HD 7400G,267,1996,,
1538,Radeon HD 7420G,305,1961,,
1539,Radeon HD 7450,223,2040,4.48,$49.99*
1540,Radeon HD 7450A,288,1973,,
1541,Radeon HD 7450M,329,1937,,
1542,Radeon HD 7470,289,1972,3.55,$81.37*
1543,Radeon HD 7470M,407,1865,,
1544,Radeon HD 7480D,281,1983,,
1545,Radeon HD 7500G,310,1959,,
1546,Radeon HD 7500G + 7500M/7600M Dual,616,1614,,
1547,Radeon HD 7500G + 7550M Dual,497,1775,,
1548,Radeon HD 7500G + HD 7500M/7600M Dual,355,1912,,
1549,Radeon HD 7520G,314,1956,,
1550,Radeon HD 7520G + 7400M Dual,486,1783,,
1551,Radeon HD 7520G + 7470M Dual,542,1721,,
1552,Radeon HD 7520G + 7500/7600 Dual,582,1658,,
1553,Radeon HD 7520G + 7600M Dual,591,1645,,
1554,Radeon HD 7520G + 7610M Dual,588,1648,,
1555,Radeon HD 7520G + 7650M Dual,453,1825,,
1556,Radeon HD 7520G + 7670M Dual,523,1745,,
1557,Radeon HD 7520G + 7700M Dual,1060,1242,,
1558,Radeon HD 7520G + 8600/8700M Dual,311,1958,,
1559,Radeon HD 7520G + 8750M Dual,376,1890,,
1560,Radeon HD 7520G + HD 7400M Dual,544,1717,,
1561,Radeon HD 7520G + HD 7500/7600 Dual,832,1391,,
1562,Radeon HD 7520G + HD 7600M Dual,447,1835,,
1563,Radeon HD 7520G + HD 7670M Dual,495,1777,,
1564,Radeon HD 7520G + HD 7700M Dual,574,1674,,
1565,Radeon HD 7520G + HD 8600/8700M Dual,623,1605,,
1566,Radeon HD 7520G + HD 8750M Dual,651,1570,,
1567,Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,574,1677,,
1568,Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,364,1907,,
1569,Radeon HD 7540D,333,1932,,
1570,Radeon HD 7540D + 6570 Dual,719,1503,,
1571,Radeon HD 7540D + 7500 Dual,821,1405,,
1572,Radeon HD 7540D + HD 6450 Dual,643,1581,,
1573,Radeon HD 7550M,464,1814,,
1574,Radeon HD 7550M/7650M,728,1492,,
1575,Radeon HD 7560D,451,1831,,
1576,Radeon HD 7560D + 6450 Dual,568,1682,,
1577,Radeon HD 7560D + 6570 Dual,833,1389,,
1578,Radeon HD 7560D + 6670 Dual,1130,1210,,
1579,Radeon HD 7560D + 7560D Dual,982,1292,,
1580,Radeon HD 7560D + 7570 Dual,985,1290,,
1581,Radeon HD 7560D + 7670 Dual,1426,1106,,
1582,Radeon HD 7560D + 7700 Dual,1919,925,,
1583,Radeon HD 7560D + HD 6570 Dual,1237,1165,,
1584,Radeon HD 7560D + HD 6670 Dual,1554,1060,,
1585,Radeon HD 7560D + HD 7000 Dual,534,1729,,
1586,Radeon HD 7560D + HD 7600 Dual,1258,1159,,
1587,Radeon HD 7560D + HD 7670 Dual,1380,1114,,
1588,Radeon HD 7560D + HD 7700 Dual,1346,1128,,
1589,Radeon HD 7560D + HD 8570 Dual,935,1322,,
1590,Radeon HD 7560D + R5 235 Dual,563,1689,,
1591,Radeon HD 7570,614,1619,5.99,$102.49*
1592,Radeon HD 7570M,427,1851,,
1593,Radeon HD 7570M/HD 7670M,699,1521,,
1594,Radeon HD 7580D,350,1916,,
1595,Radeon HD 7600G,332,1933,,
1596,Radeon HD 7600G + 6400M Dual,376,1891,,
1597,Radeon HD 7600G + 7450M Dual,389,1879,,
1598,Radeon HD 7600G + 7500M/7600M Dual,405,1868,,
1599,Radeon HD 7600G + 7550M Dual,423,1854,,
1600,Radeon HD 7600G + 8500M/8700M Dual,333,1930,,
1601,Radeon HD 7600G + HD 7400M Dual,328,1938,,
1602,Radeon HD 7600G + HD 7500M/7600M Dual,476,1800,,
1603,Radeon HD 7600G + HD 7550M Dual,509,1758,,
1604,Radeon HD 7600G + HD 8670M Dual,543,1718,,
1605,Radeon HD 7600G + HD Dual,435,1844,,
1606,Radeon HD 7600G N HD 7600G + HD ON HD Dual,526,1738,,
1607,Radeon HD 7600M + 7600M Dual,773,1445,,
1608,Radeon HD 7610M,632,1594,,
1609,Radeon HD 7620G,364,1908,,
1610,Radeon HD 7620G + 8600M Dual,508,1759,,
1611,Radeon HD 7620G + 8670M Dual,577,1669,,
1612,Radeon HD 7620G + HD 8600M Dual,442,1840,,
1613,Radeon HD 7620G + HD 8670M Dual,507,1761,,
1614,Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,451,1828,,
1615,Radeon HD 7640G,456,1822,,
1616,Radeon HD 7640G + 6400M Dual,526,1736,,
1617,Radeon HD 7640G + 7400M Dual,637,1586,,
1618,Radeon HD 7640G + 7450M Dual,754,1467,,
1619,Radeon HD 7640G + 7470M Dual,595,1639,,
1620,Radeon HD 7640G + 7500/7600 Dual,627,1603,,
1621,Radeon HD 7640G + 7500M/7600M Dual,775,1440,,
1622,Radeon HD 7640G + 7600M Dual,705,1514,,
1623,Radeon HD 7640G + 7610M Dual,510,1757,,
1624,Radeon HD 7640G + 7650M Dual,747,1473,,
1625,Radeon HD 7640G + 7670M Dual,644,1580,,
1626,Radeon HD 7640G + 7690M Dual,945,1311,,
1627,Radeon HD 7640G + 7700M Dual,690,1526,,
1628,Radeon HD 7640G + 8500M Dual,585,1654,,
1629,Radeon HD 7640G + 8570M Dual,558,1696,,
1630,Radeon HD 7640G + 8600/8700M Dual,688,1529,,
1631,Radeon HD 7640G + 8600M Dual,249,2014,,
1632,Radeon HD 7640G + 8670M Dual,558,1695,,
1633,Radeon HD 7640G + 8750M Dual,654,1564,,
1634,Radeon HD 7640G + HD 7400M Dual,576,1671,,
1635,Radeon HD 7640G + HD 7500/7600 Dual,423,1853,,
1636,Radeon HD 7640G + HD 7600M Dual,704,1517,,
1637,Radeon HD 7640G + HD 7600M N HD 7600M Dual,406,1866,,
1638,Radeon HD 7640G + HD 7670M Dual,518,1749,,
1639,Radeon HD 7640G + HD 7700M Dual,589,1646,,
1640,Radeon HD 7640G + HD 7700M N HD 7700M Dual,630,1595,,
1641,Radeon HD 7640G + HD 8500M Dual,607,1628,,
1642,Radeon HD 7640G + HD 8500M N HD 8500M Dual,665,1552,,
1643,Radeon HD 7640G + HD 8570M Dual,474,1804,,
1644,Radeon HD 7640G + HD 8600/8700M Dual,586,1651,,
1645,Radeon HD 7640G + HD 8670M Dual,677,1539,,
1646,Radeon HD 7640G + HD 8750M Dual,996,1286,,
1647,Radeon HD 7640G + R5 M200 Dual,559,1692,,
1648,Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824,1400,,
1649,Radeon HD 7640G N HD 7640G + HD 7670M Dual,679,1537,,
1650,Radeon HD 7640G N HD 7640G + HD 8570M Dual,422,1856,,
1651,Radeon HD 7650A,566,1685,2.16,$262.00*
1652,Radeon HD 7650M,436,1843,,
1653,Radeon HD 7660D,510,1756,,
1654,Radeon HD 7660D + 6570 Dual,1100,1222,,
1655,Radeon HD 7660D + 6670 Dual,1238,1163,,
1656,Radeon HD 7660D + 7470 Dual,465,1813,,
1657,Radeon HD 7660D + 7500 Dual,1121,1215,,
1658,Radeon HD 7660D + 7540D Dual,1204,1180,,
1659,Radeon HD 7660D + 7670 Dual,1061,1241,,
1660,Radeon HD 7660D + HD 6670 Dual,1484,1092,,
1661,Radeon HD 7660D + HD 7000 Dual,633,1593,,
1662,Radeon HD 7660D + HD 7400 Dual,339,1925,,
1663,Radeon HD 7660D + HD 7700 Dual,1958,914,,
1664,Radeon HD 7660D + R5 235 Dual,523,1744,,
1665,Radeon HD 7660D + R7 240 Dual,941,1317,,
1666,Radeon HD 7660G,482,1788,,
1667,Radeon HD 7660G + 7400M Dual,588,1649,,
1668,Radeon HD 7660G + 7470M Dual,630,1596,,
1669,Radeon HD 7660G + 7600M Dual,831,1395,,
1670,Radeon HD 7660G + 7610M Dual,745,1476,,
1671,Radeon HD 7660G + 7670M Dual,743,1479,,
1672,Radeon HD 7660G + 7700M Dual,757,1465,,
1673,Radeon HD 7660G + 7730M Dual,931,1325,,
1674,Radeon HD 7660G + 8600M Dual,445,1836,,
1675,Radeon HD 7660G + 8670M Dual,587,1650,,
1676,Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,1002,1277,,
1677,Radeon HD 7660G + HD 7500/7600 Dual,760,1462,,
1678,Radeon HD 7660G + HD 7500M/7600M Dual,999,1284,,
1679,Radeon HD 7660G + HD 7600M Dual,568,1683,,
1680,Radeon HD 7660G + HD 7600M N HD 7600M Dual,460,1821,,
1681,Radeon HD 7660G + HD 7670M Dual,706,1513,,
1682,Radeon HD 7660G + HD 7700M Dual,777,1436,,
1683,Radeon HD 7660G + HD 7730M Dual,881,1356,,
1684,Radeon HD 7660G + HD 8500M Dual,758,1463,,
1685,Radeon HD 7660G + HD 8600/8700M Dual,747,1474,,
1686,Radeon HD 7660G + HD 8600M Dual,363,1909,,
1687,Radeon HD 7660G + HD 8670M Dual,711,1511,,
1688,Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,722,1499,,
1689,Radeon HD 7660G N HD 7660G + HD 7670M Dual,704,1516,,
1690,Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,966,1301,,
1691,Radeon HD 7670,817,1409,,
1692,Radeon HD 7670A,1050,1250,,
1693,Radeon HD 7670M,473,1806,0.75,$629.99*
1694,Radeon HD 7670M + 7670M Dual,738,1486,,
1695,Radeon HD 7690M,847,1378,,
1696,Radeon HD 7690M XT,1009,1270,,
1697,Radeon HD 7700-serie,1899,932,,
1698,Radeon HD 7730,1188,1187,5.11,$232.70*
1699,Radeon HD 7730M,780,1435,,
1700,Radeon HD 7750,1699,1001,12.63,$134.59
1701,Radeon HD 7750M,1191,1184,,
1702,Radeon HD 7770,2174,844,7.25,$300.00*
1703,Radeon HD 7790,3090,668,22.07,$139.99*
1704,Radeon HD 7800-serie,4029,562,,
1705,Radeon HD 7850,3888,570,22.24,$174.80
1706,Radeon HD 7850M,1372,1117,,
1707,Radeon HD 7870,4598,515,26.13,$176.00*
1708,Radeon HD 7870 XT,4469,526,,
1709,Radeon HD 7870M,1507,1078,,
1710,Radeon HD 7950 / R9 280,4764,505,19.78,$240.83*
1711,Radeon HD 7970 / R9 280X,5247,456,21.25,$246.99*
1712,Radeon HD 7970M,3591,605,,
1713,Radeon HD 7990,5565,426,13.91,$399.99*
1714,Radeon HD 8180,134,2177,,
