,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
236,GeForce 7800 GT,244,2021,3.05,$80.00*
237,GeForce 7800 GTX,290,1970,4.06,$71.60*
238,GeForce 7900 GS,253,2011,,
239,GeForce 7900 GT,258,2006,1.3,$199.00*
240,GeForce 7900 GT/GTO,247,2018,,
241,GeForce 7900 GTX,387,1881,,
242,GeForce 7950 GT,346,1918,1.45,$239.42*
243,GeForce 7950 GX2,201,2069,3.67,$54.99*
244,GeForce 7950 Xtreme,287,1974,,
245,GeForce 800A,476,1801,,
246,GeForce 800M,477,1798,,
247,GeForce 8100 / nForce 720a,79,2336,,
248,GeForce 810A,655,1563,,
249,GeForce 810M,419,1858,,
250,GeForce 8200,163,2123,,
251,GeForce 8200M G,65,2379,,
252,GeForce 820A,556,1697,,
253,GeForce 820M,485,1785,,
254,GeForce 825M,770,1449,,
255,GeForce 8300,101,2274,4.48,$22.68*
256,GeForce 8300 GS,115,2232,,
257,GeForce 830A,1156,1204,,
258,GeForce 830M,1008,1273,,
259,GeForce 8400,81,2329,0.14,$589.99*
260,GeForce 8400 GS,159,2127,1.86,$85.97*
261,GeForce 8400 SE,68,2367,,
262,GeForce 8400M G,105,2261,,
263,GeForce 8400M GS,100,2277,1.29,$78.20*
264,GeForce 8400M GT,66,2375,,
265,GeForce 840A,1123,1214,,
266,GeForce 840M,1100,1221,,
267,GeForce 845M,1488,1089,,
268,GeForce 8500 GT,167,2117,,
269,GeForce 8600 GS,143,2152,,
270,GeForce 8600 GT,131,2185,0.67,$196.00*
271,GeForce 8600 GTS,183,2087,0.76,$241.99*
272,GeForce 8600M GS,88,2309,,
273,GeForce 8600M GT,167,2115,1.55,$108.10*
274,GeForce 8700M GT,124,2206,,
275,GeForce 8800 GS,330,1935,,
276,GeForce 8800 GT,460,1820,2.16,$213.54*
277,GeForce 8800 GTS,406,1867,5.08,$79.99*
278,GeForce 8800 GTS 512,549,1705,,
279,GeForce 8800 GTX,565,1686,4.72,$119.99*
280,GeForce 8800 Ultra,642,1582,1.04,$619.99
281,GeForce 8800M GTS,382,1883,,
282,GeForce 8800M GTX,462,1819,,
283,GeForce 9100,81,2324,,
284,GeForce 9100M G,68,2368,,
285,GeForce 910M,595,1640,,
286,GeForce 9200,169,2110,,
287,GeForce 9200M GE,143,2151,,
288,GeForce 9200M GS,129,2190,,
289,GeForce 920A,831,1396,,
290,GeForce 920M,717,1506,,
291,GeForce 920MX,1068,1240,,
292,GeForce 9300,126,2198,2.15,$59.00*
293,GeForce 9300 / nForce 730i,128,2191,,
294,GeForce 9300 GE,95,2291,4.13,$22.99*
295,GeForce 9300 GS,102,2271,1.71,$59.95*
296,GeForce 9300 SE,81,2328,,
297,GeForce 9300GE,97,2285,1.01,$97.20*
298,GeForce 9300M G,84,2316,,
299,GeForce 9300M GS,118,2223,2.73,$43.42*
300,GeForce 930A,1263,1154,,
301,GeForce 930M,1008,1272,,
302,GeForce 930MX,1284,1148,,
303,GeForce 9400,143,2153,,
304,GeForce 9400 GT,168,2112,2.55,$66.25*
305,GeForce 9400M,101,2275,,
306,GeForce 9400M G,67,2371,,
307,GeForce 940A,1106,1219,,
308,GeForce 940M,1129,1211,,
309,GeForce 940MX,1511,1075,,
310,GeForce 9450,104,2262,,
311,GeForce 945A,1852,952,,
312,GeForce 945M,2108,863,,
313,GeForce 9500 GS,215,2053,,
314,GeForce 9500 GT,179,2093,2.09,$85.99*
315,GeForce 9500M,103,2267,1.02,$101.20*
316,GeForce 9500M G,121,2213,,
317,GeForce 9500M GS,134,2180,,
318,GeForce 9600 GS,281,1982,,
319,GeForce 9600 GSO,323,1946,3.01,$107.39*
320,GeForce 9600 GSO 512,329,1936,,
321,GeForce 9600 GT,478,1793,7.36,$64.99*
322,GeForce 9600M GS,130,2186,,
323,GeForce 9600M GT,149,2135,1.91,$78.20*
324,GeForce 9600M GT / GeForce GT 220M,293,1967,,
325,GeForce 9650M GS,270,1991,,
326,GeForce 9650M GT,137,2170,1.17,$117.30*
327,GeForce 9700M GT,327,1939,,
328,GeForce 9700M GTS,278,1984,,
329,GeForce 9800 GT,451,1829,2.93,$154.29
330,GeForce 9800 GT 1024MB,134,2178,,
331,GeForce 9800 GTX,769,1453,10.26,$74.99*
332,GeForce 9800 GTX+,499,1771,,
333,GeForce 9800 GTX/9800 GTX+,591,1644,6.57,$89.99*
334,GeForce 9800 GX2,612,1622,3.14,$195.00*
335,GeForce 9800 S,635,1590,,
336,GeForce 9800M GS,534,1728,,
337,GeForce 9800M GT,381,1885,,
338,GeForce 9800M GTS,356,1911,,
339,GeForce 9800M GTX,454,1824,1.38,$328.50*
340,GeForce 999 GTX,83,2320,,
341,GeForce FX 5100,7,2591,,
342,GeForce FX 5200,7,2594,0.06,$129.00*
343,GeForce FX 5200 Ultra,12,2571,,
344,GeForce FX 5200LE,7,2598,0.16,$42.99*
345,GeForce FX 5200SE,11,2572,,
346,GeForce FX 5500,8,2586,0.05,$153.97*
347,GeForce FX 5600,12,2569,,
348,GeForce FX 5600 Ultra,17,2560,,
349,GeForce FX 5600XT,9,2582,,
350,GeForce FX 5700,40,2454,,
351,GeForce FX 5700 Ultra,34,2491,,
352,GeForce FX 5700LE,24,2535,,
353,GeForce FX 5700VE,33,2499,,
354,GeForce FX 5900,34,2488,,
355,GeForce FX 5900 Ultra,41,2453,,
356,GeForce FX 5900XT,40,2459,,
357,GeForce FX 5900ZT,32,2504,,
358,GeForce FX 5950 Ultra,59,2392,,
359,GeForce FX Go 5200,8,2584,,
360,GeForce FX Go 5600,17,2558,,
361,GeForce FX Go5300,12,2570,,
362,GeForce FX Go5650,16,2561,,
363,GeForce FX Go5700,51,2412,,
364,GeForce G 103M,62,2385,,
365,GeForce G 105M,74,2343,,
366,GeForce G100,176,2099,8.83,$19.99*
367,GeForce G102M,167,2116,,
368,GeForce G105M,133,2182,,
369,GeForce G200,136,2173,,
370,GeForce G205M,91,2303,,
371,GeForce G210,128,2192,1.05,$122.12*
372,GeForce G210M,129,2189,,
373,GeForce Go 6100,17,2557,,
374,GeForce Go 6150,19,2550,,
375,GeForce Go 6200,15,2564,,
376,GeForce Go 6400,24,2536,,
377,GeForce Go 6600,69,2361,,
378,GeForce Go 6600 TE/6200 TE,44,2440,,
379,GeForce Go 6800,106,2259,,
380,GeForce Go 6800 Ultra,137,2169,,
381,GeForce Go 7200,45,2438,,
382,GeForce Go 7300,52,2408,,
383,GeForce Go 7400,65,2378,,
384,GeForce Go 7600,127,2195,,
385,GeForce Go 7600 GT,210,2060,,
386,GeForce Go 7700,147,2139,,
387,GeForce Go 7800,114,2235,,
388,GeForce Go 7800 GTX,209,2062,,
389,GeForce Go 7900 GS,177,2097,,
390,GeForce Go 7900 GTX,270,1990,,
391,GeForce Go 7950 GTX,263,1999,,
392,GeForce GPU,1161,1199,,
393,GeForce GT 1030,2415,772,23.78,$101.58
394,GeForce GT 120,166,2118,5.55,$29.99*
395,GeForce GT 120 / 9500 GT,324,1942,,
396,GeForce GT 120M,150,2131,,
397,GeForce GT 130,381,1886,2.52,$151.34*
398,GeForce GT 130M,145,2147,,
399,GeForce GT 140,657,1559,,
400,GeForce GT 220,222,2043,5.55,$39.99*
401,GeForce GT 220M,126,2201,,
402,GeForce GT 230,323,1945,7.35,$43.99*
403,GeForce GT 230M,215,2052,,
404,GeForce GT 240,499,1770,3.11,$160.97*
405,GeForce GT 240M,213,2056,,
406,GeForce GT 320,470,1809,14.38,$32.69*
407,GeForce GT 320M,106,2256,,
408,GeForce GT 325M,169,2108,,
409,GeForce GT 330,396,1876,9.92,$39.99*
410,GeForce GT 330M,221,2046,,
411,GeForce GT 335M,372,1898,,
412,GeForce GT 340,738,1485,13.93,$52.99*
413,GeForce GT 415,251,2012,,
414,GeForce GT 415M,286,1975,,
415,GeForce GT 420,429,1850,2.77,$155.00*
416,GeForce GT 420M,393,1878,,
417,GeForce GT 425M,511,1754,,
418,GeForce GT 430,602,1632,4.31,$139.99*
419,GeForce GT 435M,535,1727,,
420,GeForce GT 440,773,1444,3.44,$225.00*
421,GeForce GT 445M,811,1415,,
