,name,score
2004,radeon r6 pro a10 8700b r6 10 compute cores 4c 6g,543
2005,radeon r6 pro a8 8600b 4c 6g,531
2006,radeon r6 pro a8 8600b r6 10 compute cores 4c 6g,613
2007,radeon r7 hd 7700 dual,1962
2008,radeon r7 r5 330 dual,1028
2009,radeon r7 r5 340 dual,1234
2010,radeon r7 r5 435 dual a10 9700 radeon,885
2011,radeon r7 r5 dual,897
2012,radeon r7 r7 200 dual,1077
2013,radeon r7 r7 240 dual,1045
2014,radeon r7 r7 250 dual,1232
2015,radeon r7 r7 350 dual,1982
2016,radeon r7 8g,1190
2017,radeon r7 240,900
2018,radeon r7 240 hd 8570d dual,917
2019,radeon r7 240 hd 8670d dual,930
2020,radeon r7 250,1055
2021,radeon r7 250x,2268
2022,radeon r7 260,2891
2023,radeon r7 260x,3190
2024,radeon r7 340,1000
2025,radeon r7 360,3135
2026,radeon r7 370,4486
2027,radeon r7 430,1095
2028,radeon r7 450,1887
2029,radeon r7 7850a10 7850k,551
2030,radeon r7 a10 extreme edition,821
2031,radeon r7 a10 pro 7800b,741
2032,radeon r7 a10 pro 7850b,822
2033,radeon r7 a10 7700k,785
2034,radeon r7 a10 7800,728
2035,radeon r7 a10 7850k,944
2036,radeon r7 a10 7860k,904
2037,radeon r7 a10 7870k,1094
2038,radeon r7 a10 7890k,1001
2039,radeon r7 a10 8750,856
2040,radeon r7 a10 8850,773
2041,radeon r7 a10 9700 radeon,892
2042,radeon r7 a10 9700e radeon,872
2043,radeon r7 a12 9700p radeon,712
2044,radeon r7 a12 9720p radeon,723
2045,radeon r7 a12 9730p radeon,1014
2046,radeon r7 a12 9800 radeon,1048
2047,radeon r7 a12 9800e radeon,913
2048,radeon r7 a265,993
2049,radeon r7 a360,607
2050,radeon r7 a365,781
2051,radeon r7 a370,1281
2052,radeon r7 a8 pro 7600b,667
2053,radeon r7 a8 7500,860
2054,radeon r7 a8 7500 4c 6g,853
2055,radeon r7 a8 7600,776
2056,radeon r7 a8 7650k,752
2057,radeon r7 a8 7670k,846
2058,radeon r7 a8 7680,793
2059,radeon r7 a8 8650,912
2060,radeon r7 a8 9600 radeon,838
2061,radeon r7 fx 8800p,815
2062,radeon r7 fx 9800p radeon,752
2063,radeon r7 fx 9830p radeon,1368
2064,radeon r7 g,869
2065,radeon r7 m260,524
2066,radeon r7 m260dx,816
2067,radeon r7 m260x,1002
2068,radeon r7 m265,536
2069,radeon r7 m265dx,498
2070,radeon r7 m270,766
2071,radeon r7 m340,647
2072,radeon r7 m350,1159
2073,radeon r7 m360,585
2074,radeon r7 m365x,823
2075,radeon r7 m370,1417
2076,radeon r7 m380,1668
2077,radeon r7 m440,899
2078,radeon r7 m445,939
2079,radeon r7 m460,1053
2080,radeon r7 m465,1135
2081,radeon r7 m465x,1786
2082,radeon r7 opteron x3421,1135
2083,radeon r7 pro a10 8750b,776
2084,radeon r7 pro a10 8770,917
2085,radeon r7 pro a10 8770e,804
2086,radeon r7 pro a10 8850b,945
2087,radeon r7 pro a10 9700,809
2088,radeon r7 pro a10 9700b,628
2089,radeon r7 pro a10 9700e,925
2090,radeon r7 pro a12 8800b,619
2091,radeon r7 pro a12 8830b,579
2092,radeon r7 pro a12 8870,931
2093,radeon r7 pro a12 8870e,875
2094,radeon r7 pro a12 9800,939
2095,radeon r7 pro a12 9800b,697
2096,radeon r7 pro a12 9800e,971
2097,radeon r7 pro a6 9500 2c 6g,781
2098,radeon r7 pro a8 8650b,723
2099,radeon r7 pro a8 8670e,1162
2100,radeon r7 pro a8 9600,837
2101,radeon r7e,564
2102,radeon r8 m365dx,647
2103,radeon r8 m445dx,796
2104,radeon r8 m535dx,670
2105,radeon r9 255,1501
2106,radeon r9 260,3047
2107,radeon r9 270,4306
2108,radeon r9 270 r7 370,4259
2109,radeon r9 270x,4872
2110,radeon r9 280,5539
2111,radeon r9 280x,6110
2112,radeon r9 285 380,5549
2113,radeon r9 290,8195
2114,radeon r9 290 390,8150
2115,radeon r9 290x,8451
2116,radeon r9 290x 390x,8380
2117,radeon r9 295x2,8681
2118,radeon r9 350,1988
2119,radeon r9 360,3031
2120,radeon r9 370,4722
2121,radeon r9 380,6044
2122,radeon r9 380x,6143
2123,radeon r9 390,8874
2124,radeon r9 390x,9335
2125,radeon r9 fury,9539
2126,radeon r9 fury fury x,9741
2127,radeon r9 fury x,9384
2128,radeon r9 m265x,1158
2129,radeon r9 m270x,1204
2130,radeon r9 m275,1114
2131,radeon r9 m275x,1641
2132,radeon r9 m275x m375,1574
2133,radeon r9 m280x,813
2134,radeon r9 m290x,3217
2135,radeon r9 m295x,5150
2136,radeon r9 m360,1823
2137,radeon r9 m365x,1481
2138,radeon r9 m370x,1553
2139,radeon r9 m375,986
2140,radeon r9 m375x,1733
2141,radeon r9 m380,2773
2142,radeon r9 m385,2060
2143,radeon r9 m385x,1993
2144,radeon r9 m390x,3850
2145,radeon r9 m395,4929
2146,radeon r9 m395x,4889
2147,radeon r9 m470,2330
2148,radeon r9 m470x,3244
2149,radeon r9 m485x,3660
2150,radeon rx 460,4094
2151,radeon rx 470 570,7949
2152,radeon rx 480,8570
2153,radeon rx 5300,7587
2154,radeon rx 5300m,4815
2155,radeon rx 540,2024
2156,radeon rx 550,2684
2157,radeon rx 5500,8792
2158,radeon rx 5500 xt,9085
2159,radeon rx 5500m,5834
2160,radeon rx 550x,2382
